dataset,model,MAE,RMSE
m5_hobbies,AutoARIMA,0.87180281463743,1.9122488737006351
m5_hobbies,NBEATS,0.7719896825906982,2.0087291494500596
m5_hobbies,LSTM,0.7660850561004596,2.0545427505267075
m5_hobbies,GRU,0.7662674901281519,2.05460359567988
m5_hobbies,Chronos,0.7946637053395486,2.0788156123665633
etth1,AutoARIMA,0.22111353331130199,0.25575497585613755
etth1,NBEATS,0.12074398559221984,0.1474673354723678
etth1,LSTM,0.13338037543601264,0.1797658521448285
etth1,GRU,0.13416874797182762,0.1778335835552396
etth1,Chronos,0.1614930290372513,0.1974978195181914
airpassengers,AutoARIMA,61.69046666666666,81.01714020626993
airpassengers,NBEATS,14.829104166666673,19.128426095236513
airpassengers,LSTM,13.856405833333346,19.262299586039607
airpassengers,GRU,18.40387166666667,23.391055726691427
airpassengers,Chronos,17.056675000000002,19.95354428384634
